artist_id,artist_name,artist_popularity,artist_genres,artist_followers
6Itjwvv5YmsC8ZcI5N4Jux,Sael,56,['urbano latino'],45332
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,83,"['pop', 'viral pop']",20222739
5hKGLu4Ik88FzWcTPhWNTN,INTERWORLD,76,"['phonk brasileiro', 'sped up']",268775
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,77,['alternative hip hop'],2270512
716NhGYqD1jl2wI1Qkgq36,Bizarrap,85,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",10642319
3BEV5FcxOtkQJ7lLRKMh3V,Tyler Hubbard,67,"['contemporary country', 'modern country pop']",63671
5he5w2lnU9x7JFhnwcekXX,Skrillex,78,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",8175535
37hAfseJWi0G3Scife12Il,City Girls,66,"['scam rap', 'trap queen']",2241828
7matqk3epcmZaikm34GB3T,GAWNE,52,[],60632
1RyvyyTE3xzB2ZywiAwp0i,Future,90,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",13857693
0Njy6yR9LykNKYg9yE23QN,Nardo Wick,72,"['florida drill', 'florida rap']",672592
5olrQpDroHT7sjmYWMLivy,Pressa,54,"['canadian hip hop', 'melodic rap', 'rap montrealais', 'toronto rap']",115030
4QzrhxZWtXfuW6rZATPTE7,Aaron Moses,51,[],4792
56oDRnqbIiwx4mymNEv7dS,Lizzo,78,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",5560571
4alndwWPbM9ApMYLjg19oD,Wale the Sage,53,['chill abstract hip hop'],56394
2KAaJOwfu8n93byx6YPRPa,Scarlett Johansson,57,"['hollywood', 'nyc pop']",192123
7JuMRNIHpmyFPoihd7NB7T,Rocci,51,[],12309
3xxFIilHFOKX6QaoJfBYrk,T$AN,17,[],2481
09KZU0NsS7jRa5p0SflmGY,Philharmonia Orchestra,62,"['british orchestra', 'orchestra']",61697
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,87,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",20103727
0HgICyWHmS6rnl8xWEd0x6,Banda Los Sebastianes,27,"['banda', 'musica mexicana', 'norteno', 'sierreno']",970996
3FFQjcpieXBXQwkbUJQpjV,Los Del Fl,49,[],26
3hTffafUYLLgO4yuPAxb5U,Lenin Ramírez,71,"['banda', 'corrido', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",2656308
2pSObt5Fk8izuX8ZfI3jRn,Upchurch,70,"['country rap', 'redneck']",1540194
7hf5PZjVOqTQ2id3PF7I5Y,B-Lovee,57,"['bronx drill', 'new york drill']",126910
4SgQGVqmPmPd0NMEj3T1IT,AO Bubb,26,[],1664
5A7T1LAGJg5NXySBoIKUmF,che,52,['rage rap'],36927
4ArPQ1Opcksbbf3CPwEjWE,Emilee,60,['social media pop'],95125
6zLBxLdl60ekBLpawtT63I,Cody Johnson,72,"['classic texas country', 'contemporary country']",853616
2Pv9ZGQqEflbdavLk6rr0t,Sniper Gang,26,['florida rap'],60737
0K87f3owemzI8NUCoEIXOB,vaultboy,64,[],164694
3Z7sI9OvtPJDAtjrZQKIAE,Rick Flemm,53,['instrumental lullaby'],217
4stSxe6AbpXw3x7nRDsYVX,Remmy Valenzuela,64,"['banda', 'corrido', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']",1571223
2iI5KWXLjw1tqLQsdjuo0e,Chael Produciendo,64,['dembow dominicano'],13683
0X3nsc84A9qlFilmlWNwQb,Scorey,60,['upstate ny rap'],297253
2VDsDEKCdNm7c7Ve43Z9gw,Clare Dunn,36,"['contemporary country', 'country pop']",43538
0WK3H9OErSn5zKOkOV5egm,DDG,65,['pop rap'],1008019
1gALaWbNDnwS2ECV09sn2A,Nightcrawlers,64,"['disco house', 'hip house', 'uk dance', 'vocal house']",48349
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,74,"['country rap', 'nashville hip hop', 'tennessee hip hop']",2046553
0OEYE03fBF2VoTBxGuaUxL,Chri$tian Gate$,64,['sad rap'],214191
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,['pop'],74266491
1aMt4A5jrQHxDYyC7rXgV0,Pol Granch,65,['spanish pop'],240202
0hEurMDQu99nJRq8pTxO14,John Mayer,78,"['neo mellow', 'singer-songwriter']",5859946
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,73,"['melodic rap', 'rap']",8815955
7DkseLyOZrdRjCuoWFtqFi,Edicion Especial,69,"['corrido', 'norteno', 'sad sierreno']",847972
7zVXfjqG8yM5gVp8WLab5s,Epiphonema,49,['rain'],35
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,"['canadian contemporary r&b', 'canadian pop', 'pop']",64750237
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,89,['pop'],20715719
62F9BiUmjqeXbBztCwiX1U,Lil Darkie,71,"['glitchcore', 'meme rap']",1414574
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,69,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",1094050
1FtBEIWAwvw5ymBen5GICR,Chlöe,65,[],289715
6XoXNsXj8wck0oVUNwxcmF,MIA GLADSTONE,45,[],24880
26XGM4cZDcTgrXo1nis5HT,Enchanting,43,[],58070
5bWUlnPx9OYKsLiUJrhCA1,Jon Z,70,"['reggaeton', 'trap latino', 'urbano latino']",5495610
4yBK75WVCQXej1p04GWqxH,Jeezy,70,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2334304
4jogXSSvlyMkODGSZ2wc2P,Calibre 50,76,"['banda', 'corrido', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']",10053257
128ftF9X7Kd7Di2fq3wYVs,Jamby El Favo,65,"['reggaeton', 'trap latino', 'urbano latino']",1073288
5BnvoIO9j362IcN5NkZ9Tq,Monsooners,52,['rain'],96
3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,61,"['alt z', 'modern indie pop']",362653
4adSXA1GDOxNG7Zw89YHyz,mazie,60,['modern indie pop'],106008
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,65,"['alternative r&b', 'dmv rap']",646429
4l1ovhN5c3t3b7G6KQcXHE,OT7 Quanny,35,['philly drill'],4609
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,78,"['contemporary country', 'outlaw country']",5648927
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,77,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",2472994
3Tv1UzQAvn0v0hKTxisXnR,Kaito Shoma,59,['drift phonk'],93865
12j6dJrPXanCBwY599pZxf,Matt Maltese,68,"['indie anthem-folk', 'indie pop', 'pov: indie']",352395
0fGcIStdT1OpFFhOC7Wp36,Teezo Touchdown,57,"['chill abstract hip hop', 'indie hip hop']",60310
3Uqu1mEdkUJxPe7s31n1M9,Weyes Blood,59,"['art pop', 'chamber pop', 'experimental folk', 'indie pop']",355089
0doHBzLLsQPvw51PMryi0k,SaysoTheMac,47,"['cali rap', 'westcoast flow']",19446
2jwC7uml6QVgLBfx1Hbtek,Memo Boy,56,['weirdcore'],167730
3Vl9fyKMIdLMswk8ai3mm9,Rebecca Black,48,['teen pop'],126712
5a0Qt0X5j0GDe0zu7zniIf,Simeon,20,[],86
2cCUtGK9sDU2EoElnk0GNB,The National,72,"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock', 'stomp and holler']",1511163
2Go6wC0GsnkVeRoVwh8rqX,Olga Merediz,57,[],1760
6rMZyhoEZxy9PXzp8ptuqd,D'mari Harris,40,[],1941
45gHcnDnMC15sgx3VL7ROG,42 Dugg,73,"['detroit trap', 'trap']",812569
4YURkxOtE9WWvMcYrmsVRg,HiDoraah,24,[],1446
6mx5dgNlLjrDDMyFsgrW87,TALK,58,[],84076
7cVZApDoQZpS447nHTsNqu,LeeHi,66,['k-pop'],1498626
3Y2MLcrD3ZQXRXmtn4fZQx,SpotemGottem,56,"['florida drill', 'florida rap']",446797
5SyGEPymt1G2uto47tVWvZ,MadeinTYO,63,"['atl hip hop', 'melodic rap', 'trap', 'vapor trap']",1022450
6qm0DFounuQWwu6IF0ZGH2,La Fiera de Ojinaga,64,"['musica chihuahuense', 'norteno', 'norteno-sax', 'sad sierreno', 'sierreno']",391538
6Xiuj9T13YmHkjZ70VWerK,PTAF,40,[],342
6SFUC6ORDCIBqPssCBpeHT,Patty Loveless,53,"['country', 'country dawn', 'country road', 'kentucky roots']",406861
6RY7kT6PGGzAA3TG3s4Qmp,Karlae,35,['trap queen'],7945
