track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2rrq3SGYxk90xLx5fMmPhZ,0.616,0.856,-6.098,0.0457,0.516,0.0652,0.245,0.75,157.109,108373
78ul3D77noQsYjSwvwiPU1,0.552,0.904,-4.891,0.114,0.0027,8.85e-06,0.0786,0.746,171.788,96133
0QULNNd9z5s35entfiiXoa,0.612,0.884,-4.4,0.0459,0.00516,0.0,0.0997,0.626,119.991,245626
6mmPpaltUZK7xjNlBPQQ0p,0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997
4mIHgQ3ofK2RK34UdbqMbe,0.841,0.732,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012,143480
01K4zKU104LyJ8gMb7227B,0.606,0.377,-9.455,0.0275,0.817,0.0,0.154,0.446,101.96,258813
5gZYpjakt37G3c58FKcQwJ,0.581,0.877,-4.938,0.114,0.0151,0.0,0.826,0.353,77.006,236883
1mAey8kEPmDM2icL56kS9d,0.87,0.561,-10.388,0.186,0.0124,0.0,0.103,0.691,100.458,156368
2HHLfzE7PkljuqyYU4vwmh,0.534,0.573,-6.757,0.414,0.00926,0.0,0.136,0.373,160.333,225533
3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,148197
18asYwWugKjjsihZ0YvRxO,0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819
0YrKSfpvflYnLSBd4Jtu6J,0.912,0.608,-7.686,0.397,0.0458,0.0,0.248,0.327,136.994,136900
02rdXe0KhMe8p6ZHzYtuw0,0.649,0.347,-7.67,0.404,0.485,3.24e-05,0.154,0.176,169.994,269728
5rGJkSCM6ZDi69eZb7qoNx,0.612,0.625,-8.509,0.0368,0.4,0.0,0.0936,0.942,91.436,181434
3aQem4jVGdhtg116TmJnHz,0.781,0.594,-6.959,0.0485,0.0136,0.0,0.162,0.0628,129.895,178154
7rglLriMNBPAyuJOMGwi39,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735
2cnKST6T9qUo2i907lm8zX,0.725,0.713,-6.173,0.187,0.127,0.0,0.617,0.207,65.988,148421
7hU3IHwjX150XLoTVmjD0q,0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228
1KMkcUvF7m3SDChDOa7i5L,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,161385
1sx0XsWUusUoPstbvokZjP,0.731,0.626,-6.919,0.0805,0.125,0.0,0.183,0.862,82.488,173640
4aMxs74PXoQg2SLgjypcvb,0.669,0.682,-7.974,0.293,0.00165,0.0116,0.339,0.345,148.153,155742
09gysnJpfQ3ublBmJDfcEC,0.87,0.523,-8.052,0.0602,0.433,2.07e-05,0.113,0.319,110.02,204764
4wcBRRpIfesgcyUtis7PEg,0.473,0.203,-12.627,0.102,0.941,0.0,0.126,0.419,168.884,163587
0kAZ3H6G9Zac4PMpmobMkj,0.472,0.701,-3.72,0.0279,0.091,0.0,0.23,0.304,147.854,237022
2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896,230125
2afB4eV1KWBqLqFqME6PTh,0.559,0.66,-4.143,0.0512,0.222,0.0,0.193,0.574,163.957,157907
2ccuOtUjIyx3tPcsnpeBzJ,0.527,0.461,-5.908,0.0269,0.118,0.0,0.0831,0.227,128.153,214405
14p60PiibNloesz8pDovLI,0.707,0.6,-9.341,0.219,0.0786,0.0,0.325,0.598,75.944,110602
4s7QLoImIwmPi9L6dq1nVW,0.568,0.56,-9.059,0.42,0.228,3.05e-06,0.39,0.246,130.019,308756
1V8LJmUEAleAHmBUaD0ZFI,0.536,0.772,-6.027,0.0339,0.206,0.0,0.163,0.423,134.019,208209
2vyAxGW8KhJV1C4rGRCwco,0.619,0.455,-4.93,0.0481,0.000357,0.0707,0.11,0.441,144.118,66804
