track_id,track_name,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_popularity
4UvfjzLmFls3J4K7FMJqiI,ハレ晴レユカイ,217867,0.518,0.957,-2.929,0.0712,0.0167,1.88e-05,0.313,0.757,171.893,44
0uWvR0aQxuD52uXc0wxcHI,Entry BGM - maimai Deluxe splash Ver.,54947,0.498,0.982,-6.112,0.0673,0.00165,0.531,0.383,0.819,139.897,3
1U8FsxZhK6qcpw2ySfHzti,Guruguru Wash Coin Laundry Disco,124853,0.681,0.845,-7.039,0.0353,0.14,0.00377,0.245,0.8,132.054,4
0OCbxiWRuScA6uQTS74Vls,Return,297960,0.42,0.945,-2.935,0.0667,1.7e-05,2.92e-05,0.396,0.35,102.511,16
7q5Sir7DweQtoXh7ZgYa9n,Hello & Again - Original Mix,498755,0.468,0.981,-5.531,0.0776,0.000162,0.824,0.129,0.0622,138.009,8
0ZqCYENkUkIAdsUiX9HA1N,Starry Colors,153920,0.423,0.945,-7.858,0.24,0.00312,0.00663,0.166,0.284,176.936,13
4YnXlBbFnMJf6qiO2LQMlU,God knows...,279040,0.456,0.955,-2.225,0.133,0.00152,6.56e-06,0.351,0.411,150.01,54
4nQvDSCzwp3wpfyrxDAPD8,We never stop - DJ Shimamura Remix,313433,0.426,0.926,-3.988,0.193,0.00709,1.8e-05,0.0545,0.458,169.984,22
04wnASeeL4eBTmNXB5QRam,Prelude de l'adieu,179400,0.388,0.149,-16.376,0.0421,0.988,0.909,0.105,0.105,87.407,16
7006DKdh0whYcCGgmSw7vi,Precious Paramount ( Hannah & Y.U.E. ver. ),188289,0.579,0.76,-6.397,0.0499,0.344,0.00275,0.103,0.575,190.092,8
68EKfY1GDe0hUCRDdNDFE4,miracle step,193243,0.727,0.933,-2.044,0.0565,0.299,0.000224,0.315,0.744,110.102,10
75qwyMqJU5lRT6ZYzNm1ZC,1/8000000,269232,0.501,0.972,-4.932,0.0424,0.0201,0.0805,0.339,0.628,136.987,15
7kkyuP4lNWRMNHECCiVCOT,妖怪ですから,143000,0.643,0.901,-5.098,0.0581,0.0293,0.0,0.0452,0.962,90.006,9
4ZYDE0fzgdQizFmpi8JmYs,シネマ,208306,0.561,0.943,-4.615,0.0359,0.00904,0.0,0.339,0.654,124.01,56
6F6aFFE2In6AVFw1qAgaTL,桜舞う季節に,104647,0.379,0.93,-6.462,0.0354,7.17e-06,0.787,0.304,0.804,170.127,16
269rQm8d4nhcBTx0WIBRRl,Big Daddy,274261,0.558,0.939,-3.787,0.0998,9.65e-05,0.839,0.366,0.825,95.013,42
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),258343,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,83
5zs4EN2bPqsDLk0YtPwus3,心予報,199995,0.718,0.83,-3.21,0.0764,0.121,0.0,0.306,0.755,142.916,52
6A7MyEPyYi4mvguBc05mRX,Backyun! Waruionna,110987,0.694,0.823,-7.405,0.0353,0.0174,0.142,0.0818,0.899,139.882,2
6npBD3ZPcgQZckz8RpgSqx,"Our Town, Our Life",135244,0.671,0.773,-6.054,0.0442,0.000789,0.703,0.0329,0.974,119.994,17
0hACuVzB8VLKTYhTsFgg7O,Don't force the vocal to sing like this.,148000,0.64,0.979,-3.118,0.114,0.00613,0.25,0.529,0.229,119.955,33
