artist_genres,artist_id
rain,1u9z4r9MRMjVc4t2bI2z4W
g funk,3ROTuxpbVooOYY7OanW7No
hyphy,3ROTuxpbVooOYY7OanW7No
sacramento hip hop,3ROTuxpbVooOYY7OanW7No
mexican hip hop,4tm8CEdm4pkQsEh4jIr9Yp
nueva musica mexicana,4tm8CEdm4pkQsEh4jIr9Yp
aussietronica,2TcGJdSOiOvITBzhvfX8XB
ccm,5d1JhBfyb58upMXCZOdbQu
christian alternative rock,5d1JhBfyb58upMXCZOdbQu
christian indie,5d1JhBfyb58upMXCZOdbQu
christian music,5d1JhBfyb58upMXCZOdbQu
worship,5d1JhBfyb58upMXCZOdbQu
memphis hip hop,5xkFVS6IwwgHEAaRzXc9U3
art pop,2wJ4vsxWd7df7dRU4KcoDe
chamber pop,2wJ4vsxWd7df7dRU4KcoDe
indie rock,2wJ4vsxWd7df7dRU4KcoDe
melancholia,2wJ4vsxWd7df7dRU4KcoDe
new jersey indie,2wJ4vsxWd7df7dRU4KcoDe
singer-songwriter,2wJ4vsxWd7df7dRU4KcoDe
k-pop,3eCd0TZrBPm2n9cDG6yWfF
korean r&b,3eCd0TZrBPm2n9cDG6yWfF
uk dance,6QMABvTzixnxzsLYyhqRxI
british soul,49HlOY4gkHqsYG9GCuhkcc
etherpop,6hfwwpXqZPRC9CsKI7qtv1
rap,4Gso3d4CscCijv0lmajZWs
k-pop,0ghlgldX5Dd6720Q3qFyQB
k-pop boy group,0ghlgldX5Dd6720Q3qFyQB
ccm,107CG0UhUl9GJnPwF83N63
deep ccm,107CG0UhUl9GJnPwF83N63
instrumental worship,107CG0UhUl9GJnPwF83N63
world worship,107CG0UhUl9GJnPwF83N63
worship,107CG0UhUl9GJnPwF83N63
trap boricua,5XJDexmWFLWOkjOEjOVX3e
trap latino,5XJDexmWFLWOkjOEjOVX3e
trap triste,5XJDexmWFLWOkjOEjOVX3e
urbano latino,5XJDexmWFLWOkjOEjOVX3e
adult standards,59hLmB5DrdihCYtNeFeW1U
arkansas country,59hLmB5DrdihCYtNeFeW1U
classic country pop,59hLmB5DrdihCYtNeFeW1U
folk rock,59hLmB5DrdihCYtNeFeW1U
mellow gold,59hLmB5DrdihCYtNeFeW1U
nashville sound,59hLmB5DrdihCYtNeFeW1U
singer-songwriter,59hLmB5DrdihCYtNeFeW1U
soft rock,59hLmB5DrdihCYtNeFeW1U
afrobeats,0Y3agQaa6g2r0YmHPOO9rh
afropop,0Y3agQaa6g2r0YmHPOO9rh
azontobeats,0Y3agQaa6g2r0YmHPOO9rh
ghanaian hip hop,0Y3agQaa6g2r0YmHPOO9rh
nigerian pop,0Y3agQaa6g2r0YmHPOO9rh
canadian hip hop,41X1TR6hrK8Q2ZCpp2EqCz
dark trap,41X1TR6hrK8Q2ZCpp2EqCz
meme rap,41X1TR6hrK8Q2ZCpp2EqCz
vapor trap,41X1TR6hrK8Q2ZCpp2EqCz
modern indie pop,3qqkHeEhezlIaNj1vFYH2r
indie rock italiano,0lAWpj5szCSwM4rUMHYmrr
italian pop,0lAWpj5szCSwM4rUMHYmrr
pop,0lAWpj5szCSwM4rUMHYmrr
brooklyn indie,581C5Qwl87TskfBEzuoisu
sped up,581C5Qwl87TskfBEzuoisu
reggaeton,6nVcHLIgY5pE2YCl8ubca1
trap latino,6nVcHLIgY5pE2YCl8ubca1
urbano latino,6nVcHLIgY5pE2YCl8ubca1
gauze pop,5vBSrE1xujD2FXYRarbAXc
pop,5vBSrE1xujD2FXYRarbAXc
tropical house,5vBSrE1xujD2FXYRarbAXc
uk pop,5vBSrE1xujD2FXYRarbAXc
reggaeton flow,37230BxxYs9ksS7OkZw3IU
trap latino,37230BxxYs9ksS7OkZw3IU
urbano latino,37230BxxYs9ksS7OkZw3IU
alternative r&b,6gj3sMEZYP6IESIptoXnrP
bedroom soul,60NNvDqsif0u40CXMV6jDQ
banda,0GpuSge5ffZ053NhXxgQkV
musica mexicana,0GpuSge5ffZ053NhXxgQkV
norteno,0GpuSge5ffZ053NhXxgQkV
pop,1vSN1fsvrzpbttOYGsliDr
post-teen pop,1vSN1fsvrzpbttOYGsliDr
atl trap,0dvFTsuG02c4cRbcSQ8zE6
alternative hip hop,3ZMur3elMyOs248ah86NRk
boom bap,3ZMur3elMyOs248ah86NRk
chill abstract hip hop,3ZMur3elMyOs248ah86NRk
drumless hip hop,3ZMur3elMyOs248ah86NRk
new jersey rap,3ZMur3elMyOs248ah86NRk
psychedelic hip hop,3ZMur3elMyOs248ah86NRk
hip hop,5LHRHt1k9lMyONurDHEdrp
pop rap,5LHRHt1k9lMyONurDHEdrp
rap,5LHRHt1k9lMyONurDHEdrp
trap,5LHRHt1k9lMyONurDHEdrp
rage rap,1FX1BFU0DbHRYgKP83pA0d
rhode island rap,1FX1BFU0DbHRYgKP83pA0d
baton rouge rap,7wlFDEWiM5OoIAt8RSli8b
rap,7wlFDEWiM5OoIAt8RSli8b
corrido,5D7x9esAF6twPxuOqSMkeO
corridos tumbados,5D7x9esAF6twPxuOqSMkeO
sierreno,5D7x9esAF6twPxuOqSMkeO
memphis hip hop,24zj84GShUIcBQYq6VpOYW
chicago rap,1anyVhU62p31KFi8MEzkbf
conscious hip hop,1anyVhU62p31KFi8MEzkbf
hip hop,1anyVhU62p31KFi8MEzkbf
pop rap,1anyVhU62p31KFi8MEzkbf
rap,1anyVhU62p31KFi8MEzkbf
pluggnb,3qiHUAX7zY4Qnjx8TNUzVx
rage rap,3qiHUAX7zY4Qnjx8TNUzVx
atl trap,2WInxWtfee6mRhUQUmIRAH
chicago drill,0NyMCdnVJnLRDItfh5cA7c
rap latina,6veh5zbFpm31XsPdjBgPER
trap queen,6veh5zbFpm31XsPdjBgPER
alt z,4tuJ0bMpJh08umKkEXKUI5
modern indie pop,2kCO8LXN1usaOPL3iEE28I
british soul,2hwy5DELim1AxB1sHPqn4y
aesthetic rap,5IbEL2xjRtKsunfmsahLuO
cloud rap,5IbEL2xjRtKsunfmsahLuO
florida rap,5IbEL2xjRtKsunfmsahLuO
underground hip hop,5IbEL2xjRtKsunfmsahLuO
contemporary country,1E2AEtxaFaJtH0lO7kgNKw
country,1E2AEtxaFaJtH0lO7kgNKw
country road,1E2AEtxaFaJtH0lO7kgNKw
modern country rock,1E2AEtxaFaJtH0lO7kgNKw
