artist_id,artist_name,artist_popularity,artist_followers
7i9j813KFoSBMldGqlh2Z1,Riton,67,111024
1muzcpVFKmKSrT7rVNAwBB,late night drive home,55,91736
26VFTg2z8YR0cCuwLzESi2,Halsey,82,20133665
6jJ0s89eD6GaHleKKya26X,Katy Perry,84,26905841
3uwAm6vQy7kWPS2bciKWx9,girl in red,74,5972254
1URnnhqYAYcrqrcwql10ft,21 Savage,91,13648126
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,78,2344970
4bYPcJP5jwMhSivRcqie2n,Adam Levine,72,992067
6UuT0BJZ9vF8Y1sxXnJl2s,Bounty Killer,51,224592
4eYE8Z6cfEHEdG22lTyucP,Morgan Wade,58,92009
2B8ofgf0e96eyGnXfYNtST,Dormir Dan,49,99
5hkcGbdTv8nC62vVT7RJmZ,LDNE,59,222192
56oDRnqbIiwx4mymNEv7dS,Lizzo,78,5559706
1bhZt10yZVCJfp3HaNxJv8,Riovaz,62,161408
15iVAtD3s3FsQR4w1v6M0P,Chief Keef,74,3851148
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,81,18816570
1r4hJ1h58CWwUQe3MxPuau,Maluma,84,33810851
0hEurMDQu99nJRq8pTxO14,John Mayer,78,5859341
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,84,6887471
2Go6wC0GsnkVeRoVwh8rqX,Olga Merediz,57,1760
28ExwzUQsvgJooOI0X1mr3,Jay Rock,73,1399394
0lEvPwrWS9883d0jQ4SkA7,King Blitz,29,3765
21UPYSRWFKwtqvSAnFnSvS,Amaarae,65,168349
2qB0DlFsQOpNh0bdMCJLwr,yvngxchris,59,337075
6AgTAQt8XS6jRWi4sX7w49,Polo G,83,9525896
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,82,9155169
7JuMRNIHpmyFPoihd7NB7T,Rocci,51,12304
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,89,23937204
18MFcGBHtyW0mU3ufcm0X1,Diane Guerrero,61,5721
3VHAySZQPlfGlNLslzXYpN,NATHY PELUSO,67,1030297
5GNSiWmGlKoycbxC8htQaH,Rain Recorders,51,1260
2dIgFjalVxs4ThymZ67YCE,Stray Kids,82,11204838
0wY47YCvX77JNM44SWZ3WO,C3,28,229
4QTUTpSoTX3n9uMvuvyQsy,Hope,42,2937
0xPoVNPnxIIUS1vrxAYV00,Del Water Gap,57,123482
3Yhv9MAKkZA0k3PLTZXlZQ,Marcus Yates,19,1209
6Gz2lQkwncPMYpcfuMMvDg,Dominik,21,44
0VlR93v41JFZlo1tRAgy2A,Ballout,41,54638
0K87f3owemzI8NUCoEIXOB,vaultboy,64,164486
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,70,3013788
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,4410767
2cCUtGK9sDU2EoElnk0GNB,The National,72,1510895
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,76,1357235
63ELR8SMfqu8EH9eXqCt9j,Slump6s,54,136599
3GLqH1P5kbxsIWqCwOwaB8,cloudcity,53,250
2AXsnwUyL9eMUy3y0ly2si,SeptembersRich,53,40621
0p4ViyfJUTW0IT4SCBLexf,Drakeo the Ruler,62,309637
4SgQGVqmPmPd0NMEj3T1IT,AO Bubb,26,1655
3aBe7wR8eOZi8vqw3JgHiZ,F1JO,20,650
5zixe6AbgXPqt4c1uSl94L,Connor Price,74,717819
0GeeIVcvGA8GSlWsoY1dkG,Vory,57,121654
0f2YkMXwFNJNSX7MymevKE,Kaash Paige,68,347352
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,64694323
3w6NsYwesEyDyr8Ep0yvIr,Marley Young,20,2092
0GG2cWaonE4JPrjcCCQ1EG,SG Lewis,64,321589
5o615XColiSVMPDWlslKSk,Wonstein,60,108199
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,80,17225624
3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,61,362562
3Uqu1mEdkUJxPe7s31n1M9,Weyes Blood,59,354730
24OnVX6EYwtu7P3jpMenPY,The Kount,46,28416
1gALaWbNDnwS2ECV09sn2A,Nightcrawlers,64,48325
4wYKdGFKLGhPYUTfiafYm6,The Fletch,5,6
0Q8NcsJwoCbZOHHW63su5S,Mora,83,1840497
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,81,6888830
7FgfVur1vT0yQyKIi0feNB,FITZ,49,7308
7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,65,1509247
3bhu7P5PfngueRHiB9hjcx,Elle King,67,555431
16mcbsKWKfaPgtPLXACWC4,El Tiburon Mayor,23,443
2FEdyVgGMSclOsYJ4wAQUY,Public Library Commute,51,36173
5C2iFRY2UldL2hv9THw4aB,Mad Tsai,58,301161
2C32BFATM0fyN4FFTl3fHe,Royal Rain,51,195
2Waw2sSbqvAwK8NwACNjVo,Bo Burnham,71,1724986
7xXZvo6uN6Zm1DBnoFzJIN,J King,28,439
64KEffDW9EtZ1y2vBYgq8T,Marshmello,84,35080701
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,77,5956236
3gwjMn413kOhSLR9wb4CWJ,Snap Dogg,33,14601
3BiSuYkUIQOABfwLoTIBus,J Dlux,20,850
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,51,71303
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,72,803527
1RryIbDjpwt00AKkSpCGvP,PJ Harding,52,17580
3JsHnjpbhX4SnySpvpa9DK,V,68,13096788
6IiZemRMna678qNhiRkYI5,Bedouine,45,85371
5OGraDcSkO4oTWthkm77WL,Tornillo,70,572342
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,83,20213766
2Pv9ZGQqEflbdavLk6rr0t,Sniper Gang,26,60699
0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,65,370206
4HgF4KnohByNElYid7iCNb,Bobby V.,59,904494
4SfGzWmeoNPKIOmiyc7Pav,Flatland Cavalry,64,165920
2XIbOWDT5vZPW7jNyzdfcK,Caskets,61,91777
22y08IZx7u6SWpsfap1Cub,Rio Romeo,57,130488
64EHXDoln95lnccszdPum0,Royal & the Serpent,61,191968
1OzGBMZ8rp73R6DWx0IUr5,Diamond Pistols,50,13341
