track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
5YaskwnGDZFDRipaqzbwQx,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,79
1Sym1HsTqsa2pYKhYL1j15,0.721,0.426,-7.473,0.11,0.859,0.000216,0.111,0.451,127.083,170079,79
1dg3qy5DjoJodawfOCgrTP,0.88,0.575,-6.091,0.163,0.415,0.0,0.109,0.671,120.031,232048,79
6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,-6.446,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,79
4obHzpwGrjoTuZh2DItEMZ,0.466,0.786,-5.13,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507,79
4w5hSBHaXu849xt0g9eeDg,0.799,0.655,-7.976,0.0373,0.491,3.91e-06,0.13,0.814,94.971,175935,78
7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,-5.453,0.329,0.00575,0.0,0.231,0.144,134.14,252070,78
751srcHf5tUqcEa9pRCQwP,0.423,0.913,-5.354,0.0655,6.53e-05,0.0,0.269,0.596,146.995,191823,78
135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,-10.064,0.0763,0.389,0.0,0.102,0.116,174.185,193733,78
5XsAal7ZcWg1I5T4NcRjkv,0.403,0.159,-16.728,0.104,0.961,0.0121,0.34,0.0381,72.38,234761,78
4T18CIOag4LfuqqfzyBQmw,0.803,0.745,-5.251,0.0657,0.136,0.00763,0.0712,0.628,107.077,116636,78
29e4KOBzZDOX6qnpYbjwoW,0.825,0.613,-6.043,0.0941,0.0158,0.391,0.159,0.511,117.052,84138,78
4VHkjPgAis9JNfc1URn7zZ,0.73,0.643,-7.811,0.0984,8.47e-05,0.0,0.203,0.492,141.961,186018,78
0eu4C55hL6x29mmeAjytzC,0.7,0.49,-5.187,0.076,0.186,0.0,0.117,0.569,79.982,161803,78
3p4WMekidOIiyf8SFvfrIC,0.807,0.396,-7.415,0.0545,0.855,0.0,0.0805,0.7,91.159,189486,78
2KnLkZ3z7PO3kgVGHGqDpD,0.398,0.286,-11.881,0.033,0.616,0.000146,0.0912,0.0666,78.262,222800,78
3xVZYkcuWalGudeKl861wb,0.627,0.618,-8.529,0.0437,0.0558,0.0,0.351,0.848,82.03,197443,78
2HSmyk2qMN8WQjuGhaQgCk,0.423,0.667,-7.012,0.326,0.758,0.0,0.246,0.496,86.743,336511,78
5jzEwSyyymBlf1fa1o39T2,0.818,0.673,-7.542,0.148,0.348,0.0,0.172,0.695,87.961,193636,78
3T03rPwlL8NVk1yIaxeD8U,0.509,0.228,-8.68,0.0332,0.92,0.0,0.104,0.586,90.674,156468,78
3Ofmpyhv5UAQ70mENzB277,0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,132780,78
3XYRV7ZSHqIRDG87DKTtry,0.702,0.741,-5.33,0.0427,0.00544,0.0,0.337,0.646,124.925,187585,78
69HzZ3ti9DLwb0GdWCGYSo,0.569,0.403,-8.618,0.0439,0.593,4.49e-06,0.102,0.269,119.819,201017,78
37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,-8.726,0.29,0.181,0.0,0.142,0.381,86.975,221980,78
6IPNp9PfaEqrzotY47TIWy,0.8,0.837,-2.807,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,78
0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,78
08SB2OtZkaliju77WYEKxk,0.707,0.618,-5.825,0.19,0.17,0.0,0.293,0.517,133.876,231498,78
