album_track,track_name,album_id,album_name,RPG,공포,로그라이크,배틀로얄,생존,스토리,스포츠,슈팅,시뮬레이션,액션,어드벤쳐,잠입,전략,퍼즐,플랫포머,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
2LWPhEZUQmDXWpN5t1jqc7,Majora's Mask - Calling the Four Giants (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.282,0.383,-11.771,0.0379,0.862,0.915,0.119,0.183,75.229,89613,10
5OLo3AHp5VGHkcRfPYzvMX,Majora's Mask - Clock Town (Last Day) (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.551,0.722,-10.403,0.0261,0.351,0.97,0.112,0.141,110.018,70893,33
3PLkZ76oy4PS97CE8CLXc0,Majora's Mask - Song of Healing (Clock Tower) (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.464,0.304,-11.826,0.0279,0.753,0.858,0.231,0.22,110.015,112893,17
3GxIqXJIzrzRGa80lyJviP,Majora's Mask - Last Hour (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.404,0.691,-12.041,0.0935,0.726,0.811,0.107,0.218,79.958,114040,8
5VFyMvqvty1Q17FJxjsjAT,A Link to the Past - Dark Woods (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.296,0.321,-13.727,0.0368,0.147,0.742,0.114,0.559,138.937,106399,22
5VwkQDYmVhaZ9FFKRGkzFB,The Wind Waker - Main Theme (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.469,0.228,-15.43,0.0518,0.173,1.24e-05,0.0932,0.137,121.821,118125,25
7HTciwj2TWpPFVgaiHRPRm,The Wind Waker - Earth God's Lyric (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.404,0.198,-14.975,0.0401,0.993,0.852,0.134,0.352,89.969,74674,31
0RsyIpHQTgpQdClt73wjXs,The Wind Waker - Farewell King of Hyrule (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.351,0.438,-12.863,0.0442,0.453,0.71,0.0884,0.221,177.993,169895,21
233VNy4556Fn9IAGIw97FG,The Legend of Zelda - Title Theme (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.257,0.719,-9.215,0.039,0.342,0.989,0.141,0.419,91.597,94573,21
6moM1Ti0HmCKQn1VNaeR8Q,Link's Awakening - Ballad of the Wind Fish (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.512,0.288,-12.767,0.0285,0.975,0.442,0.38,0.667,97.0,146089,23
7vFGzP82IzNbNz2CSEQHUs,Don't Give Up,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.119,0.363,-17.418,0.0594,0.6,0.955,0.0723,0.0391,76.121,250851,39
2B5dtoZSd6jG2bO9fa4uiv,Rhino Rampage,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.178,0.583,-12.951,0.0454,0.0129,0.817,0.0876,0.121,75.533,245400,30
3sPz0HlbbJsiTL1jrrrxGT,New York's Only Spider-Man,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.463,0.608,-11.931,0.0435,0.243,0.951,0.12,0.284,158.641,173227,47
6MZcDlaloirOUfqGVnfpE3,Spider-Training,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.583,0.717,-13.95,0.0549,0.709,0.912,0.115,0.547,81.994,176406,28
3DtY6zSovS1oCEbGmQqN7u,Best Friends,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.143,0.219,-16.039,0.0481,0.54,0.77,0.122,0.0371,75.155,316194,26
7z1xIroKT1nHDp6MhIIfn2,Be Yourself,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.565,0.628,-16.759,0.041,0.0776,0.857,0.134,0.266,84.004,258053,28
2kAuF7A0bRsO7thGFVA6f0,Confession,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.274,0.404,-16.748,0.0392,0.206,0.916,0.105,0.0399,121.263,400933,24
5lGc3eyDE4KRD0DpVnYF1U,The Underground,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.522,0.604,-12.716,0.0404,0.115,0.935,0.0855,0.201,159.878,162387,26
4FlHBrG7GTgjmLsCfNGyyd,Thicker Than Water,7EgaELKfoWg2UoyObtQEsX,Uncharted 4: A Thief's End (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.157,0.262,-19.304,0.0393,0.753,0.955,0.0866,0.0384,100.031,294979,23
