album_id,album_name,album_tracks
3hi8gSzAJT4KGaJrylnccp,Wokeup,['3jM9VzF2d1AMUyTD8sTmPu']
4BvD9caT3ZohqNQFcR8dVD,Ahora,"['4ggiDYAkJ7Yk8d5xOr7Xjo', '4yVO0wOhXsZC1RuPgHP524', '23CsjGOYDQiJpX44BSn9TM', '7KvrfnCkHb2qBDyVOqJ2bt', '4eOPVWfx1n9vI26r4PfIJG', '7GNFKAQGx6azyHDEcRwsuz', '2pGvM78OkxBlLu2r0mH5uK', '5hQeS8Ep3oQLCOolbM1dxr', '3pOSWDgTi2vx0bdCBAWBWH']"
3busrWaOS06nIDLDdIro3R,See Wat I’m Sayin,['30vAfL9Wyu2fu07vdbZ1Xt']
3VABPNfUfSP5DurV7CUZaH,No Le Aflojo,['7ifMxHITc3NIipJO4R5NGb']
0zhZDmHEtDtok393SbZ3d7,Dreams and Nightmares (Deluxe Edition),"['42zd6DYQ4o4SECmTITrM1U', '7y0T0GrkJOUZm1iXwCxJqQ', '6MVdz8I7oYm86MRzZiOZa8', '3MhauDni0SoCRSfv3eSrts', '1fckqKAI9ug7U1DgQrrOop', '4KozGhbYbcVPTJN2XhAAng', '32UIpKdyGzgTPTO8e5ge5c', '7lgY6aj0YvAig0BgWIivZC', '0Kjw0TMGXuBV1vCxgtbd4m', '39brMNdORpB9YpDFIFepJi', '4u5PRgzQh22hCBG0r3Vv88', '3UfMVotysc0b4AfgcfiLEM', '2MaDN1zq0vftSQ21bGBSHq', '6LRLG13jtUAKJDOKMoMTZr', '1tv6IvWoOilhj0XbBoVVMo', '2R94pcMz9mTCJ8Hi1PjCB3']"
3fWKZofaW5sB9WOc5VWLfN,Desire (Gryffin Remix),['6JzCO4ZzxAXhY86vTcqM1Q']
6RIPoDTAV7hnyBAM5xrKVV,our little angel - EP,"['2VdjzwpFvx0GdYKCeYQit3', '72gooyj5bJQNROC5Ptmjn7', '0NuWgxEp51CutD2pJoF4OM', '2IJgmcPWwfUxQVLBnquwPU', '3hDNIAnUnraurZCuiuPegu', '7bGrUqtsMPi9FF59gYaSXS']"
2vORXjfFzyQeExBayLpX1U,Tennis Court (Flume Remix),['4fnBNNoBiRqDgTTk3ZQo3E']
6MTPPsqX8KnmDWmnQmbxJ5,Brett Young,"['6zkHymyoD3tIqV7RwCAYUw', '4cy70B0WjXYW6UKtrD0UXf', '3T6MAweakkNrMYs8jZIWtg', '10M2Ex445zw585Ducldzkw', '65rdw6vlQI4s4i6usBKHUd', '55x6uA2907oPXRqQCqHSxW', '4wwZnclbrUX7EBGfkFclmP', '0PrKDQjsr4imJ7sJTVMrXd', '58426dJtPITazaM6UtA9c2', '3GzKRcrUxAwwAYt47Of3N4', '0lrqP022E0DDCG7tPjAxPp', '2VIPU72L6tIR4w8J8ap6Kp']"
7zjLDZzHo2XgvYwpuNwEvK,I Am The Best,['26EM9sZnQkLLQxixGd88KE']
4ZTcGoOrNro2aCAStXEjZi,Port Of Morrow,"['4vg1R4QYoWSFUUj2qX5L5K', '48bo7uexDvAThcRDvEB2W7', '4UXSYJDEgOlMX3MXVkaiyH', '3kQoWDsseAkLlx2grDjVcm', '5X1cvJi4Ja7zEYvNwA0LXZ', '1YddKfSvj4m0AyIeroFVaY', '4c7KZ53NlI37sWXbaJhPOq', '0oaNUiiRb6cGRYzf0wsqPd', '3klMnAnAWXdo6MomqXeJMn', '3Try68sPCVOlmX0B5o57ZT']"
5UD36hu4fYZ6R8b8crkKL7,Again (feat. XXXTENTACION),['2S2od3hT7ceytw7d1pTRuE']
6JbaZX1WluHFINcw5P3cq2,Fired Up,"['1xnzRhmqe4UfMTdqdEgfDn', '7JnorPtXApoUw2AuJUGLY1', '03jfx8RCcOsJcefHYbPR2n', '1dcb8RpFVGamiEKT5h21Rp', '3sdBopdmndDF0xFQEVneKU', '5jEt9YGZQEcwBdx1eqBCIK', '0YgXSDMUJlen2AQ6fnYLLr', '2U1mxBslOJHWPFYsjtnpKL', '3FqEShkmVhz3J0jJD8UABj', '6epnpYAOkz7DrC1O1D3RfZ', '3OJp0nYhgOsBUHPf0M1hDB', '1QCaswj2Jr7FxJljQE6Dvu', '5AFxc9V1gD5WO3D8VTZqBS', '6AFqG6bv0bdY3fWkWcip0a', '0awAd5e5xwKKUVVHqvqVrl', '11SqGrkS4vPdh5ZVewIX1d', '6dXzmwu2HaWL3ABKWs1QGn']"
0UwpSCPnNPksM1meQJnBAF,Rise Of An Empire (Deluxe Edition),"['7Ij7OiGCUjOkkqZ4ZTb76o', '6HfOzLLjsaXsehIFEsrxTk', '3smEw44nxEoT7aBRwbTSpi', '1paIMWwjQxE1GX3hqQ8IUW', '6tQw40eoMf6ugxHIV2WSVr', '18Yy6Smc8V15Jy0VHsANYg', '4aoTZHeWFCbquvIBhAUZlL', '0CC5dv6pBEU9CZ001g5BNj', '6cWDN6XeN6NJQaj9fELVjg', '04KJ4NGb2T22y26sTO41Q0', '5Jvc7g86zaRs2gErJjnUEn', '2rQ8C1R8YPUmA5RCstTnnG', '73ynG5gHRgpUSHekuNMUM9', '20f1ldLBajZX28xG4KG9SD']"
4CRo2RGyrA06iTD9sTpKhZ,20 Kilates,"['1hxyzHlH7qS3AZdOj6GmIO', '2FJAjnaM1kXMHFy4DNadSu', '690NmD2iXqwsF6xLv8Bwg0', '0Jz4mDItCyhbofy9XXNYyS', '6aGkNBQQJI86HGeoCDgoiV', '2qcczGLNlowXNfagRGv2M4', '764OUcSOK8xHwt7zFJaGCL', '30OMr1rsSqy0pPS5xWZuLk', '1NJQNjt4bRcA9maiF7X8lC', '5q0NjCw2JMw1CXpmRmTEXE', '3R6micjwRisZ7p4IhsBlSw', '2Q4R08sKEqT7TVZCHU5zOn', '1OAuxQrmIYxZofRI1qrpIO', '61wKjCoUQmeCEn5ZWDK1hq', '1XWMYNjH8AuPBFUYjD9NmH', '0piBVQXZDFozz2Ba6uUhuf', '0Du5NlDNct9qPxNkZsfues', '0AHnNTszuvsA3ZmYO4QNM4', '1kpGRdYLRXAdMIg5cgqTL0', '1Nk7sJ08bAMFF9jtQdeuTi']"
338LPt19lJ2GiGmxDSOAtR,Who is Nardo Wick?,"['2v2j25recIr66jLFS1ELuQ', '3dqFdKbZacv3Z3XzFtIFjE', '2ST8dPoJZQ1WHBWKgqgPFM', '6tyDOV0pa16f2JFAtWBz2U', '2HHLfzE7PkljuqyYU4vwmh', '4tEoHQlBHxWrcbouQapoOv', '60wjsG8f8obJuJL24EkEhe', '5LQ2Bvo2AjS4T7kDxiufq4', '7ACW7VpgoKmfM1sKo15UhX', '11kS3gVQd6DbcIuUel3DgG', '1RRwz9czf39ZVeLq6tAY14', '6TNkJPyBho8mQE6IziibHu', '4xl69qYIDxUIACXSeRkXOY', '080BnzVFYXgNR6f4jtyzkP', '7CI5KZUJwnGjv3cL5uygTr', '5K3CiPTQ1D0Anw814sqno9', '44yCee9dkgbofBom5te9Hy', '4pC9ESy6yI5nCswyzMnqZ2']"
