track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6VdvqsLnuG9bRHKE0yNzDD,0.269,0.321,-9.504,0.035,0.924,0.722,0.0775,0.0448,92.812,65467
4iVe4QKLux1XaBd0SnXNSe,0.444,0.058,-18.643,0.0686,0.995,0.822,0.126,0.0619,99.213,33760
1b79oeYggYEOf989JI2lnj,0.518,0.819,-5.411,0.03,0.255,0.0,0.0426,0.457,99.0,351867
7EI7D2UjEJnP1O9ujQl1wk,0.337,0.00162,-27.691,0.0872,0.977,0.775,0.101,0.0,70.794,34080
4hKnspyskv4mg1ucGoi3Ou,0.289,0.224,-15.476,0.0476,0.958,0.0289,0.169,0.0795,99.656,63720
4MWP1U1fIzjJzPHY9wLGEa,0.549,0.558,-8.34,0.0278,0.461,0.000643,0.0985,0.386,146.02,316040
4ihya5mOCdI6C350sP3pvk,0.183,0.27,-15.071,0.0433,0.846,0.901,0.0672,0.0257,141.588,22187
1mUZsSGKrUwX8XdwrU2lF6,0.837,0.0996,-16.642,0.0667,0.909,0.852,0.0978,0.152,125.961,161000
69pXBySDoY73X1mC6mMsfF,0.699,0.218,-15.925,0.0347,0.905,0.785,0.107,0.333,119.965,136000
6tbpFQu1ym8WJvEuiuP8Nj,0.642,0.0835,-19.857,0.0315,0.857,0.685,0.0935,0.157,95.04,298737
7MFE1YFDt5hS0NhPQ5b5xP,0.771,0.202,-22.008,0.0369,0.854,0.144,0.0743,0.579,115.003,233739
4t57sUuF3XqG59Uin73VjW,0.629,0.114,-21.174,0.0328,0.979,0.849,0.167,0.176,102.094,230876
4e6OQ8yZKIoHWE8hMhh7lR,0.608,0.0797,-22.842,0.0362,0.788,0.0641,0.0608,0.18,113.009,244957
4eaWJB8I7YD8Eniio2sne5,0.837,0.205,-19.43,0.0535,0.875,0.66,0.0756,0.241,119.999,206000
74UmCX6GOFjGcmjvKTqLvB,0.742,0.104,-24.062,0.0387,0.907,0.596,0.0885,0.609,110.023,315000
2uygAZ6LzBzRKcA0IRBCP3,0.583,0.125,-19.229,0.0298,0.0997,0.86,0.105,0.424,62.493,259500
39oLq1MYPy24QEObAxcixa,0.603,0.0284,-28.218,0.0314,0.944,0.691,0.108,0.228,97.982,174873
3ryiF5dde7stXjtaiLjdvs,0.553,0.0609,-25.369,0.0296,0.945,0.895,0.108,0.148,101.987,195043
5TJ85kUCeo1awc0AcSNR5d,0.296,0.018,-25.423,0.0315,0.974,0.405,0.0934,0.0768,76.924,208340
2ciRi4jTg4UadOKdTn0Pwc,0.573,0.0576,-20.772,0.0301,0.956,0.891,0.0957,0.115,96.023,280625
2JLvH6h3pAT6VJ35TXD1Yd,0.516,0.0352,-25.826,0.0303,0.951,0.714,0.0815,0.127,84.012,223000
4feWeMSYYXJwpx0do1oyHU,0.501,0.0291,-28.392,0.0319,0.948,0.905,0.0985,0.308,97.992,239388
2DTNijhN64L8TpxahFZPir,0.534,0.326,-18.177,0.0418,0.818,0.849,0.161,0.563,120.072,161785
1gvX8mUhphviWUHZ0TSxwT,0.722,0.385,-11.194,0.036,0.694,0.652,0.106,0.511,120.05,192000
04pjfS3YIK6gXjxi1zHeZa,0.498,0.598,-6.638,0.0377,0.00786,0.0,0.111,0.0573,140.078,235000
6enLk2V2s0M6D6PGLjHxYv,0.32,0.621,-12.207,0.0563,0.0429,0.896,0.0802,0.319,128.025,133378
09GsnPL0m4AzzvWqclt9R7,0.575,0.543,-13.071,0.033,0.265,0.917,0.103,0.255,105.087,196583
3fMtbatIC3Gl9rfZ1Y6trw,0.454,0.425,-15.177,0.035,0.412,0.836,0.0869,0.0379,147.002,181214
0QI1IQbCigfH2kkSdNfvpO,0.439,0.535,-11.175,0.0635,0.378,0.968,0.235,0.115,130.03,164813
2PkHdCRTfVmFz1eNV5YRp9,0.585,0.571,-13.098,0.0392,0.433,0.89,0.124,0.0372,124.837,117775
